所有權人;管理者;行政區;段小段;地號;面積;分母;分子;持分面積;使用分區
中華民國;財政部國有財產署;中正區;永昌段一小段;02260001;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02270000;24;1;1;24;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02270001;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02280001;21;1;1;21;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02290000;36;1;1;36;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02330000;263;1;1;263;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02330002;32;1;1;32;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02340000;53;1;1;53;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02390000;120;1;1;120;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02400000;71;1;1;71;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02400002;148;1;1;148;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;02600000;16;1;1;16;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;03780000;2;1;1;2;第三之一種住宅區
中華民國;交通部臺灣鐵路管理局;中正區;永昌段一小段;03830000;169;1;1;169;第三之一種住宅區
中華民國;交通部臺灣鐵路管理局;中正區;永昌段一小段;03830003;239;1;1;239;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;04310000;199;1;1;199;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;04310002;89;1;1;89;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;04310003;100;1;1;100;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;05360000;90;3;1;30;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;05580000;3.78;1;1;3.78;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;05580003;0.22;1;1;0.22;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;05840000;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07190000;14;1;1;14;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07190002;6;1;1;6;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07190003;2;1;1;2;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07190004;5;1;1;5;第三種住宅區
